2017-06-15 22:55:28,748 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-15 22:55:28,761 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Drivers\eclipse\TheFxDealsAnalyzer\dealsanalyzer\src\test\resources
2017-06-15 22:55:54,285 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-06-15 22:56:17,748 [Worker-22] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Drivers\eclipse\TheFxDealsAnalyzer\dealsanalyzer
2017-06-15 22:56:17,749 [Worker-22] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests clean install
2017-06-15 22:57:01,010 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-15 22:57:01,021 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-15 22:57:01,024 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-15 22:57:01,035 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Drivers\eclipse\TheFxDealsAnalyzer\dealsanalyzer\src\test\resources
2017-06-15 22:58:50,566 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for dealsanalyzer
2017-06-15 22:58:50,776 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-15 22:58:50,789 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-15 22:58:50,791 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-15 22:58:50,800 [Worker-22] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Drivers\eclipse\TheFxDealsAnalyzer\dealsanalyzer\src\test\resources
2017-06-15 22:58:50,801 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of dealsanalyzer
2017-06-15 22:58:50,801 [Worker-22] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for dealsanalyzer
2017-06-15 22:58:50,817 [Worker-22] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-15 22:59:19,708 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-06-15 22:59:46,885 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Drivers\eclipse\TheFxDealsAnalyzer\dealsanalyzer
2017-06-15 22:59:46,885 [Worker-5] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests mvn clean install
2017-06-15 23:00:08,941 [main] INFO  o.e.m2e.actions.ExecutePomAction - Creating new launch configuration
2017-06-15 23:00:16,629 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate - D:\Drivers\eclipse\TheFxDealsAnalyzer\dealsanalyzer
2017-06-15 23:00:16,630 [Worker-9] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn -B -Dmaven.test.skip=true -DskipTests clean install
2017-06-15 23:04:28,354 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-15 23:04:28,365 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-06-15 23:04:28,367 [Worker-24] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-06-15 23:04:28,377 [Worker-24] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Drivers\eclipse\TheFxDealsAnalyzer\dealsanalyzer\src\test\resources
